period,reporter_iso_limpio,partner_iso_limpio,M,X,peso_comercio_total,balanza_comercial,ln_peso_comercio_total
2004,ARG,IRL,26477073.0,34714388.0,61191461.0,8237315.0,17.929518227946236
2004,ARG,IRN,22.0,52246.0,52268.0,52224.0,10.864158740091016
2004,ARG,IRQ,0.0,21568204.0,21568204.0,21568204.0,16.886730797470957
2004,ARG,ISL,7420.0,0.0,7420.0,-7420.0,8.912069097970134
2004,ARG,ISR,17319062.0,39494802.0,56813864.0,22175740.0,17.85529095601598
2004,ARG,ITA,119234341.0,452853504.0,572087845.0,333619163.0,20.164803114475422
2004,ARG,JAM,0.0,4447559.0,4447559.0,4447559.0,15.307866189156254
2004,ARG,JOR,0.0,63677045.0,63677045.0,63677045.0,17.969334710233483
2004,ARG,JPN,211597875.0,22461719.0,234059594.0,-189136156.0,19.27108632038384
2004,ARG,KAZ,0.0,1393263.0,1393263.0,1393263.0,14.147159753829172
2004,ARG,KEN,0.0,72745702.0,72745702.0,72745702.0,18.102480396979356
2004,ARG,KOR,81410437.0,178364866.0,259775303.0,96954429.0,19.37532759994578
2004,ARG,KWT,5536308.0,22298768.0,27835076.0,16762460.0,17.14180754589734
2004,ARG,LAO,0.0,55870.0,55870.0,55870.0,10.93080074098641
2004,ARG,LBN,7303.0,18094193.0,18101496.0,18086890.0,16.711505199998324
2004,ARG,LBR,24335.0,1973282.0,1997617.0,1948947.0,14.50746602872008
2004,ARG,LBY,0.0,51712815.0,51712815.0,51712815.0,17.761216200441375
2004,ARG,LCA,68.0,2647.0,2715.0,2579.0,7.906915488678587
2004,ARG,LKA,1549398.0,53433382.0,54982780.0,51883984.0,17.822530621451975
2004,ARG,LTU,50.0,415430.0,415480.0,415380.0,12.937192164193574
2004,ARG,LUX,744695.0,0.0,744695.0,-744695.0,13.520731360393858
2004,ARG,LVA,26730093.0,4318994.0,31049087.0,-22411099.0,17.25107999393172
2004,ARG,MAR,19126.0,181415436.0,181434562.0,181396310.0,19.016405612225753
2004,ARG,MDA,0.0,8050.0,8050.0,8050.0,8.993551586299981
2004,ARG,MDG,0.0,19020504.0,19020504.0,19020504.0,16.761028165727996
2004,ARG,MDV,0.0,10528.0,10528.0,10528.0,9.26188863385676
